ZIP,Park_Count,Encounters,Cases
11201,8,0,877
10025,22,0,1677
10028,4,0,600
10314,14,18,3136
11355,10,28,1651
10035,13,9,1175
11237,2,0,1225
11220,5,1,2115
10463,5,0,2405
11219,1,0,3701
11212,1,9,2214
10468,7,1,3302
10451,8,8,1844
11211,3,5,2687
10471,23,9,897
11213,10,2,1733
11434,17,6,2328
11234,8,3,2700
10472,2,4,2340
10459,2,23,1783
11385,22,7,2597
11101,6,7,809
10040,16,27,1384
11214,7,1,1925
11228,5,7,847
11216,2,2,953
10024,54,10,917
10470,4,1,517
11368,20,109,5238
10023,32,0,723
10307,4,0,465
11691,10,1,3077
10310,3,6,846
10467,16,19,4005
10026,9,1,820
11433,3,2,1090
11375,3,2,1778
10469,3,3,3344
10462,2,2,2675
10457,23,8,2608
10453,3,1,2898
10452,8,1,2967
10454,4,13,1318
10011,6,13,688
10004,5,17,52
11364,15,13,563
11426,3,1,568
11361,4,2,534
11105,4,29,622
11232,1,2,675
11432,2,1,2197
10033,4,7,1647
11367,10,32,1327
11354,2,6,1531
11423,4,2,1236
11231,9,0,510
10032,19,10,1862
10009,2,3,916
11222,6,5,598
10465,11,17,1690
11422,4,5,1098
10034,13,6,935
11215,33,1,764
10309,9,1,1011
11224,20,2,1490
11209,9,4,1433
11207,7,14,2527
11356,6,1,686
11360,2,6,372
11693,8,6,364
10456,4,0,3000
11694,11,1,819
11365,14,8,1036
10002,12,95,1416
10031,8,4,1641
11379,6,17,963
10306,13,13,1732
11225,1,0,1379
10305,5,6,1483
10458,4,2,2564
10029,5,0,2145
11415,2,6,658
10039,3,0,647
10027,11,21,1266
10464,20,17,141
11236,8,1,3130
10312,10,1,1830
10455,2,12,1540
10301,12,31,1417
10473,11,1,2274
10466,4,1,2704
10460,6,12,1990
11226,3,0,2698
10021,1,0,711
10010,1,0,385
10003,1,0,633
11357,2,0,967
11378,1,2,871
10308,4,0,792
11102,2,0,807
10007,4,1,82
11359,3,0,0
11218,2,0,2104
11230,3,0,3360
11106,1,0,846
10128,1,0,778
11411,1,0,757
11413,3,6,1471
11223,3,0,2671
11238,2,0,979
10304,1,2,1630
11235,7,4,2593
11417,1,0,1001
11229,5,7,2239
10461,3,0,2085
11233,1,0,1535
10022,5,0,432
11692,4,2,733
11373,1,0,3672
10019,1,0,764
11421,1,8,1374
11427,2,0,885
10001,1,0,469
11239,1,0,594
11362,2,0,376
10065,1,0,405
10280,1,0,68
10005,0,0,118
10006,0,0,49
10012,0,0,269
10013,0,0,356
10014,0,0,424
10016,0,0,928
10017,0,0,185
10018,0,0,221
10030,0,0,612
10036,0,0,564
10037,0,0,614
10038,0,0,348
10044,0,0,268
10069,0,0,77
10075,0,0,487
10282,0,0,87
10302,0,0,723
10303,0,0,981
10474,0,0,347
10475,0,0,1936
11004,0,0,661
11096,0,0,2
11103,0,0,746
11104,0,0,587
11109,0,0,69
11203,0,0,2357
11204,0,0,2628
11205,0,0,924
11206,0,0,1990
11208,0,0,2890
11210,0,0,2248
11217,0,0,731
11221,0,0,1667
11358,0,0,682
11363,0,0,115
11366,0,0,461
11369,0,0,1791
11370,0,0,1487
11372,0,0,2917
11374,0,0,1350
11377,0,0,2625
11412,0,0,1358
11414,0,0,945
11416,0,0,847
11418,0,0,1275
11419,0,0,1385
11420,0,0,1583
11428,0,0,735
11429,0,0,1083
11435,0,0,1912
11436,0,0,608
11697,0,0,124
