ZIP,CaseRank,EncounterRank,Difference
10314,3,11,8
11355,16,6,10
10035,29,27,2
11212,9,27,18
10451,12,31,19
10471,34,27,7
11434,7,45,38
10459,13,8,5
11385,5,36,31
11101,37,36,1
10040,24,7,17
11228,35,36,1
10024,33,24,9
11368,1,1,0
10310,36,45,9
10467,2,10,8
10457,4,31,27
10454,27,20,7
10011,38,20,18
10004,45,15,30
11364,41,20,21
11105,40,5,35
10033,17,36,19
11367,26,3,23
11354,19,45,26
10032,11,24,13
10465,15,15,0
10034,32,45,13
11207,6,16,10
11360,42,45,3
11693,43,45,2
11365,30,31,1
10002,23,2,21
11379,31,15,16
10306,14,20,6
10305,20,45,25
11415,39,45,6
10027,28,9,19
10464,44,15,29
10455,18,22,4
10301,22,4,18
10460,10,22,12
11413,21,45,24
11229,8,36,28
11421,25,31,6
